,English,English_cleaned,Spanish,French,German
590,you don't sound very optimistic,you do not sound very optimistic,no suenas muy optimista,tu n'as pas l'air très optimiste,Sie klingen nicht sehr optimistisch
591,"you don't speak english, do you",you do not speak english  do you,no hablas ingles verdad,tu ne parles pas anglais,"Sie sprechen kein Englisch, oder?"
592,"you don't understand women, tom",you do not understand women  tom,no entiendes a las mujeres tom,tu ne comprends pas les femmes tom,du verstehst frauen nicht tom
593,you found something they didn't,you found something they did not,encontraste algo que ellos no,vous avez trouvé quelque chose qu'ils n'ont pas trouvé,"du hast etwas gefunden, was sie nicht fanden"
594,you had better take an umbrella,you had better take an umbrella,será mejor que tomes un paraguas,tu ferais mieux de prendre un parapluie,Du solltest besser einen Regenschirm mitnehmen
595,you have a lot of strange ideas,you have a lot of strange ideas,tienes muchas ideas extrañas,vous avez beaucoup d'idées étranges,Sie haben viele seltsame Ideen
596,you have lipstick on your cheek,you have lipstick on your cheek,tienes pintalabios en la mejilla,tu as du rouge à lèvres sur la joue,du hast lippenstift auf der wange
597,"you have lovely eyes, don't you",you have lovely eyes  do not you,Tienes unos ojos preciosos ¿no?,tu as de beaux yeux n'est-ce pas,"Sie haben schöne Augen, nicht wahr?"
598,you have to be over 18 to drive,you have to be over 18 to drive,tienes que ser mayor de 18 años para conducir,vous devez avoir plus de 18 ans pour conduire,"man muss über 18 sein, um fahren zu dürfen"
599,you have to believe in yourself,you have to believe in yourself,tienes que creer en ti mismo,tu dois croire en toi,Du musst an dich selbst glauben
600,you have to protect your family,you have to protect your family,tienes que proteger a tu familia,tu dois protéger ta famille,Du musst deine Familie beschützen
601,you have to reply to the letter,you have to reply to the letter,tienes que responder a la carta,vous devez répondre à la lettre,Sie müssen auf den Brief antworten
602,you just told me not to do that,you just told me not to do that,me acabas de decir que no haga eso,tu viens de me dire de ne pas faire ça,"Du hast mir gerade gesagt, ich soll das nicht tun"
603,you know i don't have any money,you know i do not have any money,sabes que no tengo dinero,tu sais que je n'ai pas d'argent,"Du weißt, ich habe kein Geld"
604,you know i'm older than you are,you know i am older than you are,sabes que soy mayor que tu,tu sais que je suis plus vieux que toi,"Du weißt, ich bin älter als du"
605,you know quite a lot about sumo,you know quite a lot about sumo,sabes mucho de sumo,tu en sais pas mal sur le sumo,Sie wissen ziemlich viel über Sumo
606,"you know some french, don't you",you know some french  do not you,sabes algo de francés ¿no?,tu connais un peu le français n'est-ce pas,"Sie können etwas Französisch, nicht wahr?"
607,you know what i'm talking about,you know what i am talking about,Sabes de qué hablo,tu sais de quoi je parle,"Du weißt, worüber ich spreche"
608,you know where the problem lies,you know where the problem lies,sabes donde esta el problema,tu sais où est le problème,"Sie wissen, wo das Problem liegt"
609,you look beautiful this evening,you look beautiful this evening,te ves hermosa esta noche,tu es magnifique ce soir,Du siehst heute Abend wunderschön aus
610,you look gorgeous in that dress,you look gorgeous in that dress,te ves hermosa en ese vestido,tu es magnifique dans cette robe,du siehst umwerfend aus in diesem Kleid
611,you may invite whoever you like,you may invite whoever you like,puedes invitar a quien quieras,tu peux inviter qui tu veux,"Sie können einladen, wen Sie möchten"
612,you might be interested in this,you might be interested in this,te puede interesar esto,cela pourrait vous intéresser,das könnte dich interessieren
613,you must answer these questions,you must answer these questions,debes responder estas preguntas,vous devez répondre à ces questions,Sie müssen diese Fragen beantworten
614,you must never lose your temper,you must never lose your temper,nunca debes perder los estribos,il ne faut jamais s'emporter,du darfst niemals die Fassung verlieren
615,you must not be late for school,you must not be late for school,no debes llegar tarde a la escuela,tu ne dois pas être en retard à l'école,Du darfst nicht zu spät zur Schule kommen
616,you must obey the traffic rules,you must obey the traffic rules,debes obedecer las reglas de tránsito,vous devez respecter les règles de circulation,Sie müssen die Verkehrsregeln befolgen
617,you must read between the lines,you must read between the lines,debes leer entre lineas,il faut lire entre les lignes,man muss zwischen den zeilen lesen
618,you must return the book to him,you must return the book to him,debes devolverle el libro,tu dois lui rendre le livre,Sie müssen ihm das Buch zurückgeben
619,you must teach me what you know,you must teach me what you know,debes enseñarme lo que sabes,tu dois m'apprendre ce que tu sais,"du musst mich lehren, was du weißt"
620,you must've had a very hard day,you might have had a very hard day,puede que hayas tenido un día muy duro,tu as peut-être eu une dure journée,Sie hatten vielleicht einen sehr harten Tag
621,you need not have come so early,you need not have come so early,no necesitabas haber venido tan temprano,tu n'as pas besoin d'être venu si tôt,du hättest nicht so früh kommen müssen
622,you need to come home right now,you need to come home right now,tienes que volver a casa ahora mismo,tu dois rentrer à la maison tout de suite,Du musst sofort nach Hause kommen
623,you need to renew your passport,you need to renew your passport,necesitas renovar tu pasaporte,vous devez renouveler votre passeport,Sie müssen Ihren Reisepass erneuern
624,you need to respect the elderly,you need to respect the elderly,hay que respetar a los mayores,il faut respecter les personnes âgées,Sie müssen die älteren Menschen respektieren
625,you never seem to eat very much,you never seem to eat very much,nunca pareces comer mucho,tu ne sembles jamais manger beaucoup,du scheinst nie sehr viel zu essen
626,you ought not to have done that,you ought not to have done that,no debiste haber hecho eso,tu n'aurais pas dû faire ça,das hättest du nicht tun sollen
627,you owe it to yourself to do it,you owe it to yourself to do it,te lo debes a ti mismo para hacerlo,tu te dois de le faire,"du schuldest es dir selbst, es zu tun"
628,"you really didn't know, did you",you really did not know  did you,¿realmente no lo sabías?,tu ne savais vraiment pas,"du hast es wirklich nicht gewusst, oder?"
629,"you really don't get it, do you",you really do not get it  do you,"Realmente no lo entiendes, verdad",tu ne comprends vraiment pas,"Du schnallst es echt nicht, oder"
630,you really should buy a new car,you really should buy a new car,realmente deberías comprar un auto nuevo,tu devrais vraiment acheter une nouvelle voiture,Du solltest dir wirklich ein neues Auto kaufen
631,you really should try this cake,you really should try this cake,realmente deberías probar este pastel,tu devrais vraiment essayer ce gâteau,Sie sollten diesen Kuchen unbedingt probieren
632,you said there was an emergency,you said there was an emergency,dijiste que había una emergencia,tu as dit qu'il y avait une urgence,"Sie sagten, es gäbe einen Notfall"
633,you seem to be afraid of my dog,you seem to be afraid of my dog,parece que le tienes miedo a mi perro,tu sembles avoir peur de mon chien,Sie scheinen Angst vor meinem Hund zu haben
634,you seem to have a crush on tom,you seem to have a crush on tom,pareces estar enamorado de tom,tu sembles avoir le béguin pour tom,du scheinst in tom verknallt zu sein
635,you seem to know a lot about me,you seem to know a lot about me,pareces saber mucho de mi,tu sembles en savoir beaucoup sur moi,du scheinst viel über mich zu wissen
636,you should be proud of yourself,you should be proud of yourself,Deberias estar orgulloso de ti mismo,Tu devrais être fier de toi,du solltest stolz auf dich sein
637,you should come and work for me,you should come and work for me,deberías venir y trabajar para mí,tu devrais venir travailler pour moi,du solltest kommen und für mich arbeiten
638,you should conform to the rules,you should conform to the rules,debes ajustarte a las reglas,vous devez vous conformer aux règles,Sie sollten sich an die Regeln halten
639,you should follow tom's example,you should follow tom s example,deberías seguir el ejemplo de tom,tu devrais suivre l'exemple de tom,du solltest toms beispiel folgen
640,you should have done it with us,you should have done it with us,deberías haberlo hecho con nosotros,tu aurais dû le faire avec nous,das hättest du bei uns machen sollen
641,you should keep your mouth shut,you should keep your mouth shut,deberías mantener la boca cerrada,tu devrais garder ta bouche fermée,du solltest den mund halten
642,you should listen to his advice,you should listen to his advice,deberías escuchar sus consejos,tu devrais écouter ses conseils,Sie sollten auf seinen Rat hören
643,you should lower your standards,you should lower your standards,deberías bajar tus estándares,tu devrais baisser tes standards,Sie sollten Ihre Standards senken
644,you should never have done that,you should never have done that,nunca debiste haber hecho eso,tu n'aurais jamais dû faire ça,das hättest du nie machen sollen
645,you should really get a haircut,you should really get a haircut,realmente deberías cortarte el pelo,tu devrais vraiment te faire couper les cheveux,Du solltest dir wirklich die Haare schneiden lassen
646,you should refrain from smoking,you should refrain from smoking,debes abstenerte de fumar,vous devriez vous abstenir de fumer,Sie sollten auf das Rauchen verzichten
647,you should stay here a few days,you should stay here a few days,deberías quedarte aquí unos días,tu devrais rester ici quelques jours,Sie sollten ein paar Tage hier bleiben
648,you should take singing lessons,you should take singing lessons,deberías tomar clases de canto,tu devrais prendre des cours de chant,Du solltest Gesangsunterricht nehmen
649,you should talk to a specialist,you should talk to a specialist,deberías hablar con un especialista,tu devrais parler à un spécialiste,du solltest mit einem fachmann sprechen
650,you should've gotten up earlier,you should have gotten up earlier,deberías haberte levantado antes,tu aurais dû te lever plus tôt,du hättest früher aufstehen sollen
651,you should've seen what tom did,you should have seen what tom did,deberías haber visto lo que hizo tom,tu aurais dû voir ce que tom a fait,"du hättest sehen sollen, was tom gemacht hat"
652,you should've told me yesterday,you should have told me yesterday,debiste haberme dicho ayer,tu aurais du me le dire hier,Du hättest es mir gestern sagen sollen
653,you shouldn't eat anything cold,you should not eat anything cold,no debes comer nada frio,il ne faut rien manger de froid,Sie sollten nichts Kaltes essen
654,you shouldn't have any problems,you should not have any problems,no deberías tener ningún problema,tu ne devrais pas avoir de problèmes,du solltest keine probleme haben
655,you shouldn't have to wait long,you should not have to wait long,no deberías tener que esperar mucho,tu ne devrais pas attendre longtemps,Sie sollten nicht lange warten müssen
656,you stick out like a sore thumb,you stick out like a sore thumb,sobresales como un pulgar dolorido,vous sortez comme un pouce endolori,du stehst heraus wie ein wunder Daumen
657,you take your job too seriously,you take your job too seriously,te tomas tu trabajo demasiado en serio,vous prenez votre travail trop au sérieux,Du nimmst deine Arbeit zu ernst
658,"you think i'm scared, don't you",you think i am scared  do not you,Crees que tengo miedo ¿no?,tu penses que j'ai peur n'est-ce pas,"Du denkst, ich habe Angst, nicht wahr?"
659,"you think i'm stupid, don't you",you think i am stupid  do not you,"Crees que soy estúpido, ¿no?",tu penses que je suis stupide n'est-ce pas,"Du denkst, ich bin dumm, nicht wahr?"
660,you told me not to tell anybody,you told me not to tell anybody,me dijiste que no le dijera a nadie,tu m'as dit de ne le dire à personne,"Du hast mir gesagt, ich soll es niemandem sagen"
661,you told me that you were tired,you told me that you were tired,me dijiste que estabas cansado,tu m'as dit que tu étais fatigué,"Du hast mir gesagt, dass du müde bist"
662,"you were terrified, weren't you",you were terrified  were not you,estabas aterrorizado ¿no?,tu étais terrifié n'étais-tu pas,"Du hattest Angst, nicht wahr?"
663,"you were very busy, weren't you",you were very busy  were not you,estabas muy ocupado ¿no?,tu étais très occupé n'est-ce pas,"Sie waren sehr beschäftigt, nicht wahr?"
664,you won't be needing that again,you will not be needing that again,no volverás a necesitar eso,tu n'en auras plus besoin,das wirst du nicht mehr brauchen
665,you won't be the only one there,you will not be the only one there,no serás el único allí,vous ne serez pas le seul là-bas,du wirst nicht der einzige dort sein
666,you won't believe what i've got,you will not believe what i have got,no vas a creer lo que tengo,tu ne croiras pas ce que j'ai,"Sie werden nicht glauben, was ich habe"
667,you'd better consult the doctor,you would better consult the doctor,será mejor que consultes al médico,tu ferais mieux de consulter le médecin,da solltest du besser den arzt konsultieren
668,you'd better not argue with tom,you would better not argue with tom,será mejor que no discutas con tom,tu ferais mieux de ne pas discuter avec tom,du solltest besser nicht mit tom streiten
669,you'd better tell him the truth,you would better tell him the truth,será mejor que le digas la verdad,tu ferais mieux de lui dire la vérité,du solltest ihm besser die wahrheit sagen
670,you'd better try something else,you would better try something else,será mejor que pruebes otra cosa,tu ferais mieux d'essayer autre chose,du solltest besser etwas anderes versuchen
671,you'd better watch what you say,you would better watch what you say,será mejor que vigiles lo que dices,tu ferais mieux de faire attention à ce que tu dis,"Sie sollten besser aufpassen, was Sie sagen"
672,you'll feel better after a bath,you will feel better after a bath,te sentirás mejor después de un baño,vous vous sentirez mieux après un bain,Sie werden sich nach einem Bad besser fühlen
673,you'll get better in a few days,you will get better in a few days,te mejoraras en unos dias,tu iras mieux dans quelques jours,in ein paar tagen wird es dir besser gehen
674,you'll have to ask someone else,you will have to ask someone else,tendrás que preguntarle a alguien más,tu devras demander à quelqu'un d'autre,da musst du jemand anderen fragen
675,you'll need this more than i do,you will need this more than i do,necesitarás esto más que yo,tu en auras besoin plus que moi,Sie werden das mehr brauchen als ich
676,you'll understand it right away,you will understand it right away,lo entenderás enseguida,vous le comprendrez tout de suite,Sie werden es sofort verstehen
677,"you're tom's friend, aren't you",you are tom s friend  are not you,eres amigo de tom no eres tu,tu es l'ami de tom n'est-ce pas,"Du bist Toms Freund, nicht wahr?"
678,"you're afraid of me, aren't you",you are afraid of me  are not you,me tienes miedo no es asi,tu as peur de moi n'est-ce pas,du hast angst vor mir nicht wahr
679,"you're disappointed, aren't you",you are disappointed  are not you,estas decepcionado no es asi,vous êtes déçu n'est-ce pas,"Sie sind enttäuscht, nicht wahr?"
680,"you're done working, aren't you",you are done working  are not you,"has terminado de trabajar, ¿verdad?",vous avez fini de travailler n'est-ce pas,"Sie sind mit der Arbeit fertig, nicht wahr?"
681,you're going to ruin everything,you are going to ruin everything,vas a arruinar todo,tu vas tout gâcher,du wirst alles ruinieren
682,"you're just jealous, that's all",you are just jealous  that is all,solo estas celoso eso es todo,tu es juste jaloux c'est tout,"Du bist nur eifersüchtig, das ist alles"
683,"you're not a city girl, are you",you are not a city girl  are you,no eres una chica de ciudad eres,tu n'es pas une fille de la ville,"Du bist kein Stadtmädchen, oder?"
684,you're not allowed in this room,you are not allowed in this room,no estás permitido en esta habitación,vous n'êtes pas autorisé dans cette pièce,Sie dürfen diesen Raum nicht betreten
685,you're not allowed to eat those,you are not allowed to eat those,no se te permite comer esos,vous n'êtes pas autorisé à manger ces,die darfst du nicht essen
686,you're not allowed to park here,you are not allowed to park here,no se le permite aparcar aquí,vous n'êtes pas autorisé à vous garer ici,Sie dürfen hier nicht parken
687,you're not allowed to swim here,you are not allowed to swim here,no puedes nadar aquí,vous n'êtes pas autorisé à nager ici,du darfst hier nicht schwimmen
688,"you're not one of them, are you",you are not one of them  are you,usted no es uno de ellos es usted,tu n'es pas l'un d'eux,"Du bist keiner von ihnen, oder?"
689,you're not telling me the truth,you are not telling me the truth,no me estas diciendo la verdad,tu ne me dis pas la vérité,du sagst mir nicht die wahrheit
690,you're obviously in great shape,you are obviously in great shape,obviamente estás en buena forma,tu es visiblement en pleine forme,du bist offensichtlich topfit
691,"you're still single, aren't you",you are still single  are not you,sigues soltera no,tu es toujours célibataire n'est-ce pas,"Du bist immer noch Single, nicht wahr?"
692,you're the best man for the job,you are the best man for the job,eres el mejor hombre para el trabajo,tu es le meilleur homme pour le travail,Sie sind der beste Mann für den Job
693,"you're the champion, aren't you",you are the champion  are not you,tu eres el campeon no es asi,tu es le champion n'est-ce pas,"Du bist der Champion, nicht wahr?"
694,you're the only canadian i know,you are the only canadian i know,eres el único canadiense que conozco,tu es le seul canadien que je connaisse,"Du bist der einzige Kanadier, den ich kenne"
695,you're the perfect woman for me,you are the perfect woman for me,eres la mujer perfecta para mi,tu es la femme parfaite pour moi,Du bist die perfekte Frau für mich
696,you're unqualified for that job,you are unqualified for that job,usted no está calificado para ese trabajo,vous n'êtes pas qualifié pour ce travail,Sie sind für diesen Job unqualifiziert
697,you're wasting both of our time,you are wasting both of our time,Estás perdiendo el tiempo de los dos.,vous perdez notre temps à tous les deux,Sie verschwenden unsere Zeit
698,"you've been kissed, haven't you",you have been kissed  have not you,te han besado verdad,tu as été embrassé n'est-ce pas,"Du bist geküsst worden, nicht wahr?"
699,you've done the best you can do,you have done the best you can do,has hecho lo mejor que puedes hacer,tu as fait de ton mieux,du hast dein bestes getan
700,you've got a pretty good memory,you have got a pretty good memory,tienes muy buena memoria,tu as une assez bonne mémoire,du hast ein ziemlich gutes gedächtnis
701,you've got bags under your eyes,you have got bags under your eyes,tienes bolsas debajo de los ojos,tu as des poches sous les yeux,du hast Tränensäcke unter den Augen
702,you've got to be making this up,you have got to be making this up,tienes que estar inventando esto,tu dois inventer ça,du musst dir das ausdenken
703,you've told me that joke before,you have told me that joke before,me has contado ese chiste antes,tu m'as déjà raconté cette blague,Sie haben mir diesen Witz schon einmal erzählt
704,you've wasted enough of my time,you have wasted enough of my time,ya has desperdiciado suficiente de mi tiempo,tu m'as assez fait perdre mon temps,Du hast genug von meiner Zeit verschwendet
705,young people like popular music,young people like popular music,a los jóvenes les gusta la música popular,les jeunes aiment la musique populaire,Jugendliche mögen populäre Musik
706,your english has improved a lot,your english has improved a lot,tu ingles ha mejorado mucho,votre anglais s'est beaucoup amélioré,dein Englisch hat sich sehr verbessert
707,your french is better than mine,your french is better than mine,tu frances es mejor que el mio,ton français est meilleur que le mien,dein französisch ist besser als meins
708,your answer is far from perfect,your answer is far from perfect,tu respuesta está lejos de ser perfecta,ta réponse est loin d'être parfaite,Ihre Antwort ist alles andere als perfekt
709,your bicycle is similar to mine,your bicycle is similar to mine,tu bicicleta es parecida a la mia,ton vélo est semblable au mien,Dein Fahrrad ist meinem ähnlich
710,your brother is asking for help,your brother is asking for help,tu hermano esta pidiendo ayuda,ton frère demande de l'aide,Ihr Bruder bittet um Hilfe
711,your car has a broken taillight,your car has a broken taillight,tu auto tiene una luz trasera rota,votre voiture a un feu arrière cassé,Ihr Auto hat ein kaputtes Rücklicht
712,your dog is still barking at me,your dog is still barking at me,tu perro me sigue ladrando,ton chien m'aboie toujours,Dein Hund bellt mich immer noch an
713,your father seems very friendly,your father seems very friendly,tu padre parece muy amable,ton père a l'air très gentil,dein Vater scheint sehr freundlich zu sein
714,your friend tom hasn't returned,your friend tom has not returned,tu amigo tom no ha regresado,ton ami tom n'est pas revenu,dein freund tom ist nicht zurückgekehrt
715,your guitar is better than mine,your guitar is better than mine,tu guitarra es mejor que la mia,ta guitare est meilleure que la mienne,Deine Gitarre ist besser als meine
716,your idea is not entirely crazy,your idea is not entirely crazy,tu idea no es del todo loca,ton idée n'est pas complètement folle,Deine Idee ist nicht ganz verrückt
717,your kiss is sweeter than honey,your kiss is sweeter than honey,tu beso es mas dulce que la miel,ton baiser est plus doux que le miel,dein Kuss ist süßer als Honig
718,your mother and father are dead,your mother and father are dead,tu madre y tu padre están muertos,ta mère et ton père sont morts,deine Mutter und dein Vater sind tot
719,your mother is going to kill me,your mother is going to kill me,tu madre me va a matar,ta mère va me tuer,Deine Mutter wird mich umbringen
720,your name sounds familiar to me,your name sounds familiar to me,tu nombre me suena familiar,ton nom me semble familier,dein Name kommt mir bekannt vor
721,your parents know where you are,your parents know where you are,tus padres saben donde estas,tes parents savent où tu es,"Deine Eltern wissen, wo du bist"
722,your privacy is important to us,your privacy is important to us,Su privacidad es importante para nosotros,votre vie privée est importante pour nous,Ihre Privatsphäre ist uns wichtig
723,your problem is similar to mine,your problem is similar to mine,tu problema es similar al mio,ton problème est similaire au mien,dein problem ist meinem ähnlich
724,your pronunciation is excellent,your pronunciation is excellent,tu pronunciación es excelente,ta prononciation est excellente,deine Aussprache ist ausgezeichnet
725,your question is hard to answer,your question is hard to answer,tu pregunta es dificil de responder,votre question est difficile à répondre,deine Frage ist schwer zu beantworten
726,your shirt button is coming off,your shirt button is coming off,el botón de tu camisa se está saliendo,ton bouton de chemise se détache,Ihr Hemdknopf löst sich
727,your team is stronger than ours,your team is stronger than ours,tu equipo es mas fuerte que el nuestro,votre équipe est plus forte que la nôtre,Ihr Team ist stärker als unseres
728,"are you a teacher ""yes, i am""",are you a teacher  yes  i am ,eres un maestro si lo soy,êtes-vous un enseignant oui je le suis,"Bist du ein Lehrer? Ja, das bin ich"
729,"can somebody help me ""i will""",can somebody help me  i will ,alguien me puede ayudar lo hare,quelqu'un peut-il m'aider je le ferai,kann mir jemand helfen ich werde
730,"fast is the opposite of ""slow""",fast is the opposite of  slow ,rapido es lo contrario de lento,rapide est le contraire de lent,schnell ist das Gegenteil von langsam
731,"how old are you ""i'm sixteen""",how old are you  i am sixteen ,cuantos años tienes yo tengo dieciséis,quel âge as-tu j'ai seize ans,wie alt bist du ich bin sechzehn
732,"i am not tired ""neither am i""",i am not tired  neither am i ,no estoy cansada yo tampoco,je ne suis pas fatigué non plus,"Ich bin nicht müde, ich bin es auch nicht"
733,"let me alone, she said angrily",let me alone  she said angrily,déjame en paz dijo enojada,"laisse-moi tranquille, dit-elle avec colère","Lass mich in Ruhe, sagte sie wütend"
734,"may i call you tonight ""sure""",may i call you tonight  sure ,puedo llamarte esta noche seguro,puis-je t'appeler ce soir,Darf ich dich heute Abend sicher anrufen
735,"may i go with you ""of course""",may i go with you  of course ,puedo ir contigo por supuesto,puis-je aller avec vous bien sûr,darf ich natürlich mit dir gehen
736,"tom likes mary ""yeah, i know""",tom likes mary  yeah  i know ,"a tom le gusta mary, sí, lo sé",tom aime mary ouais je sais,"Tom mag Mary, ja ich weiß"
737,a baby is sleeping in the cradle,a baby is sleeping in the cradle,un bebé está durmiendo en la cuna,un bébé dort dans le berceau,ein Baby schläft in der Wiege
738,a big wave turned over his canoe,a big wave turned over his canoe,una gran ola volteó su canoa,une grosse vague renversa son canot,eine große Welle warf sein Kanu um
739,a chain is made up of many links,a chain is made up of many links,una cadena se compone de muchos eslabones,une chaine est composée de plusieurs maillons,Eine Kette besteht aus vielen Gliedern
740,a coat is an article of clothing,a coat is an article of clothing,un abrigo es una prenda de vestir,un manteau est un vêtement,ein mantel ist ein kleidungsstück
741,a coin dropped out of his pocket,a coin dropped out of his pocket,se le cayó una moneda del bolsillo,une pièce est tombée de sa poche,eine Münze fiel aus seiner Tasche
742,a conductor directs an orchestra,a conductor directs an orchestra,un director dirige una orquesta,un chef d'orchestre dirige un orchestre,Ein Dirigent leitet ein Orchester
743,a crowd soon gathered around him,a crowd soon gathered around him,una multitud pronto se reunió a su alrededor,une foule bientôt rassemblée autour de lui,Bald versammelte sich eine Menschenmenge um ihn
744,a crowd was gathering around him,a crowd was gathering around him,una multitud se estaba reuniendo a su alrededor,une foule se rassemblait autour de lui,eine Menschenmenge versammelte sich um ihn
745,a curfew was imposed on the city,a curfew was imposed on the city,se impuso un toque de queda en la ciudad,un couvre-feu a été imposé à la ville,Über die Stadt wurde eine Ausgangssperre verhängt
746,a dog has a sharp sense of smell,a dog has a sharp sense of smell,un perro tiene un agudo sentido del olfato,un chien a un odorat aiguisé,Ein Hund hat einen scharfen Geruchssinn
747,a driver was sleeping in the car,a driver was sleeping in the car,un conductor estaba durmiendo en el auto,un conducteur dormait dans la voiture,Ein Fahrer schlief im Auto
748,a father provides for his family,a father provides for his family,un padre provee para su familia,un père subvient aux besoins de sa famille,Ein Vater sorgt für seine Familie
749,a few people came to the lecture,a few people came to the lecture,algunas personas vinieron a la conferencia,quelques personnes sont venues à la conférence,ein paar Leute kamen zum Vortrag
750,a good book is a great companion,a good book is a great companion,un buen libro es un gran compañero,un bon livre est un excellent compagnon,Ein gutes Buch ist ein guter Begleiter
751,a housewife should be economical,a housewife should be economical,un ama de casa debe ser economica,une ménagère doit être économe,Eine Hausfrau sollte sparsam sein
752,a large crowd of people gathered,a large crowd of people gathered,una gran multitud de personas se reunieron,une foule nombreuse s'est rassemblée,versammelte sich eine große Menschenmenge
753,a lot of people hate you already,a lot of people hate you already,mucha gente ya te odia,beaucoup de gens te détestent déjà,Viele Leute hassen dich schon
754,a man's worth lies in what he is,a man s worth lies in what he is,el valor de un hombre esta en lo que es,la valeur d'un homme est dans ce qu'il est,"Der Wert eines Mannes liegt in dem, was er ist"
755,a new road is under construction,a new road is under construction,una nueva carretera está en construcción,une nouvelle route est en construction,eine neue Straße ist im Bau
756,a plane is flying above the city,a plane is flying above the city,un avión está volando sobre la ciudad,un avion vole au-dessus de la ville,Ein Flugzeug fliegt über der Stadt
757,a revolution broke out in mexico,a revolution broke out in mexico,estallo una revolucion en mexico,une révolution a éclaté au mexique,In Mexiko brach eine Revolution aus
758,a right angle has ninety degrees,a right angle has ninety degrees,un angulo recto tiene noventa grados,un angle droit a quatre vingt dix degrés,Ein rechter Winkel hat neunzig Grad
759,a ring and some cash are missing,a ring and some cash are missing,falta un anillo y algo de dinero,il manque une bague et de l'argent,ein Ring und etwas Bargeld fehlen
760,a river flows through the valley,a river flows through the valley,un río fluye a través del valle,une rivière coule dans la vallée,Durch das Tal fließt ein Fluss
761,a rope was thrown into the water,a rope was thrown into the water,una cuerda fue arrojada al agua,une corde a été jetée à l'eau,ein Seil wurde ins Wasser geworfen
762,a sin confessed is half forgiven,a sin confessed is half forgiven,un pecado confesado es medio perdonado,un péché avoué est à moitié pardonné,eine bekannte Sünde ist halb vergeben
763,a toothache deprived me of sleep,a toothache deprived me of sleep,un dolor de muelas me privó del sueño,un mal de dents m'a privé de sommeil,Zahnschmerzen raubten mir den Schlaf
764,a true friend would've helped me,a true friend would have helped me,un verdadero amigo me hubiera ayudado,un vrai ami m'aurait aidé,Ein wahrer Freund hätte mir geholfen
765,a woman without a man is nothing,a woman without a man is nothing,una mujer sin un hombre no es nada,une femme sans homme n'est rien,Eine Frau ohne Mann ist nichts
766,ai means artificial intelligence,ai means artificial intelligence,ai significa inteligencia artificial,ai signifie intelligence artificielle,ai bedeutet künstliche Intelligenz
767,about how many books do you have,about how many books do you have,aproximadamente cuantos libros tienes,environ combien de livres avez-vous,"darüber, wie viele Bücher Sie haben"
768,about how much money do you have,about how much money do you have,sobre cuanto dinero tienes,environ combien d'argent avez-vous,"darüber, wie viel Geld Sie haben"
769,about how much money do you need,about how much money do you need,sobre cuanto dinero necesitas,de combien d'argent avez-vous besoin,"darüber, wie viel Geld Sie brauchen"
770,"after he said it, he was ashamed",after he said it  he was ashamed,después de decirlo se avergonzó,"après l'avoir dit, il avait honte","nachdem er es gesagt hatte, schämte er sich"
771,all i want is some companionship,all i want is some companionship,todo lo que quiero es un poco de compañía,tout ce que je veux c'est de la compagnie,"Alles, was ich will, ist etwas Gesellschaft"
772,all donations are tax deductible,all donations are tax deductible,todas las donaciones son deducibles de impuestos,Tous les dons sont déductibles des impôts,alle Spenden sind steuerlich absetzbar
773,all her money went to her nephew,all her money went to her nephew,todo su dinero fue para su sobrino,tout son argent est allé à son neveu,Ihr ganzes Geld ging an ihren Neffen
774,all of the students were present,all of the students were present,todos los estudiantes estaban presentes,tous les élèves étaient présents,alle Schüler waren anwesend
775,all of them were handmade things,all of them were handmade things,todos ellos eran cosas hechas a mano,tous étaient des choses faites à la main,alle waren handgefertigte Dinge
776,all of us climbed aboard quickly,all of us climbed aboard quickly,todos subimos a bordo rápidamente,nous sommes tous montés à bord rapidement,wir stiegen alle schnell an Bord
777,"all right, everyone, remain calm",all right  everyone  remain calm,esta bien todos mantengan la calma,bon tout le monde reste calme,"alles klar, bleibt alle ruhig"
778,all the parking spots were taken,all the parking spots were taken,todos los lugares de estacionamiento fueron ocupados,toutes les places de parking ont été prises,Alle Parkplätze waren besetzt
779,all the players were in position,all the players were in position,todos los jugadores estaban en posición,tous les joueurs étaient en position,Alle Spieler waren in Position
780,all the students passed the test,all the students passed the test,todos los estudiantes pasaron la prueba,tous les élèves ont réussi le test,Alle Schüler haben die Prüfung bestanden
781,all three of you need to do that,all three of you need to do that,los tres tienen que hacer eso,vous devez le faire tous les trois,Alle drei müssen das tun
782,all we can do is to wait for him,all we can do is to wait for him,todo lo que podemos hacer es esperarlo,tout ce qu'on peut faire c'est l'attendre,wir können nur auf ihn warten
783,all we need is a little patience,all we need is a little patience,todo lo que necesitamos es un poco de paciencia,tout ce dont nous avons besoin c'est d'un peu de patience,"Alles, was wir brauchen, ist ein wenig Geduld"
784,all you ever think about is work,all you ever think about is work,todo lo que siempre piensas es en el trabajo,tout ce à quoi tu penses c'est le travail,"alles, woran du jemals denkst, ist Arbeit"
785,all you have to do is to join us,all you have to do is to join us,todo lo que tienes que hacer es unirte a nosotros,il ne vous reste plus qu'à nous rejoindre,"Alles, was Sie tun müssen, ist, sich uns anzuschließen"
786,almost all of the dogs are alive,almost all of the dogs are alive,casi todos los perros están vivos,presque tous les chiens sont vivants,Fast alle Hunde leben
